job_name,submit_time,task_name,instance_num,task_duration,plan_cpu,plan_mem,plan_gpu,gpu_type,communicate_count,communicate_size,decline,preq,children,qualified
google_94591244395,117,instance_94591244395_144,1,20,600,8,140,MISC,5,818,7,,,
google_260697606809,773,instance_260697606809_335,1,22,500,7,110,MISC,1,211,13,,,
google_276227177776,34,instance_276227177776_376,1,17,800,7,190,MISC,2,172,70,,,
google_10507389885,461,instance_10507389885_1977,1,10,900,11,110,MISC,1,95,21,,,
google_25911621841,672,instance_25911621841_3907,1,12,500,7,140,MISC,1,36,28,,,
google_235085571060,698,instance_235085571060_345,1,11,800,7,70,MISC,5,262,76,,,
google_275444626052,147,instance_275444626052_13138,1,7,500,7,130,MISC,3,292,60,,,
google_193223725812,195,instance_193223725812_393,1,17,600,7,100,MISC,0,146,32,,,
google_236368116431,966,instance_236368116431_19760,1,14,500,7,160,MISC,1,300,39,,,
google_296992962690,902,instance_296992962690_90,1,13,1100,8,160,MISC,2,368,28,,,
google_454520770906,51,instance_454520770906_1758,1,8,600,7,190,MISC,2,152,70,,,
google_346556401280,303,instance_346556401280_8880,1,7,700,8,80,MISC,2,351,30,,,
google_39516992187,36,instance_39516992187_3658,1,17,500,7,80,MISC,2,179,52,,,
google_784488673642,576,instance_784488673642_7776,1,7,500,8,200,MISC,0,62,44,,,
google_784634965149,451,instance_784634965149_641,1,6,500,7,40,MISC,2,189,19,,,
google_330587204926,633,instance_330587204926_882,1,13,600,7,50,MISC,1,191,11,,,
google_27762125863,1014,instance_27762125863_37,1,14,400,7,40,MISC,1,138,17,,,
google_288497456405,1094,instance_288497456405_1629,1,7,500,7,70,MISC,1,284,14,,,
google_784245858759,126,instance_784245858759_2198,1,8,500,9,110,MISC,1,96,48,,,
google_781395587588,74,instance_781395587588_247,1,16,500,7,60,MISC,2,378,10,,,
google_39516997747,699,instance_39516997747_2249,1,19,500,7,170,MISC,1,113,95,,,
google_359738464136,917,instance_359738464136_7339,1,11,500,7,50,MISC,3,403,25,,,
google_261356905709,1063,instance_261356905709_2234,1,16,500,7,150,MISC,2,367,6,,,
google_260725669813,10,instance_260725669813_1162,1,9,500,7,200,MISC,1,117,17,,,
google_348547152567,463,instance_348547152567_773,1,14,600,7,120,MISC,3,353,6,,,
google_740922797544,124,instance_740922797544_406,1,12,1000,7,130,MISC,1,235,24,,,
google_5424274343,1070,instance_5424274343_833,1,17,700,9,120,MISC,1,67,7,,,
google_236368116431,903,instance_236368116431_14858,1,15,500,7,50,MISC,2,276,39,,,
google_454520770906,51,instance_454520770906_814,1,8,600,7,190,MISC,0,352,33,,,
google_755686677250,621,instance_755686677250_7590,1,7,500,7,100,MISC,0,246,88,,,
google_784956094732,315,instance_784956094732_1549,1,16,500,7,80,MISC,3,449,14,,,
google_294544747384,778,instance_294544747384_7770,1,5,500,7,190,MISC,1,198,93,,,
google_36195154546,854,instance_36195154546_4818,1,14,500,7,60,MISC,1,104,12,,,
google_236368116431,966,instance_236368116431_43387,1,11,500,7,190,MISC,0,105,61,,,
google_327090859844,1077,instance_327090859844_31,1,6,400,17,170,MISC,0,96,8,,,
google_212549666260,223,instance_212549666260_3642,1,14,500,8,110,MISC,2,363,77,,,
google_742309193032,141,instance_742309193032_932,1,11,500,7,70,MISC,3,454,81,,,
google_382097962345,361,instance_382097962345_880,1,17,500,7,120,MISC,2,304,44,,,
google_116646838687,154,instance_116646838687_17,1,8,500,8,150,MISC,1,96,43,,,
google_314637133793,579,instance_314637133793_1269,1,3,600,7,160,MISC,0,103,15,,,
google_324695453205,1043,instance_324695453205_249,1,7,900,8,130,MISC,1,113,10,,,
google_379491243491,194,instance_379491243491_3235,1,8,500,7,200,MISC,0,57,68,,,
